gbifID	ownerInstitutionCode	year	collectionCode	accessRights	type	basisOfRecord	catalogNumber	continent	country	stateProvince	county	decimalLatitude	decimalLongitude	higherGeography	higherGeographyID	locality	maximumElevationInMeters	minimumElevationInMeters	lifeStage	sex	preparations	higherClassification	kingdom	phylum	family	class	order	genus	specificEpithet	scientificName	vernacularName	identifiedBy
665718688	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167897	Asia	China	Hong Kong	Lantau	22.22083	113.91576	"Asia, China, Hong Kong, Lantau: 1/4 km E Shui Hau"		1/4 km E Shui Hau	20	20		Female	"skin,skull"	Animalia Chordata Mammalia Soricomorpha Soricidae	Animalia	Chordata	Soricidae	Mammalia	Soricomorpha	Suncus	murinus	Suncus murinus		
665877121	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167907	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	skin	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886493	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167948	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877145	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167944	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	skull	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877122	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167908	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886494	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167949	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	skull	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877134	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167920	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	skull	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877120	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167906	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886492	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167946	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877132	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167918	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877133	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167919	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
911552227		1996	Reptiles and Amphibians	not-for-profit use only	PhysicalObject	PreservedSpecimen	30993	Asia	China	Hong Kong		22.3333	114.25	Asia; China; Hong Kong		Hong Kong					Tissue only	Animalia; Chordata; Reptilia; Squamata; Viperidae; Trimeresurus	Animalia	Chordata	Viperidae	Reptilia	Squamata	Trimeresurus	albolabris	Trimeresurus albolabris		"Murphy, R.;Kong, K."
911551626		1996	Reptiles and Amphibians	not-for-profit use only	PhysicalObject	PreservedSpecimen	30741	Asia	China	Hong Kong		22.25	114.16666	Asia; China; Hong Kong		Hong Kong					whole animal (ETOH)	Animalia; Chordata; Reptilia; Squamata; Gekkonidae; Gekko	Animalia	Chordata	Gekkonidae	Reptilia	Squamata	Gekko	sinensis	Gekko sinensis		"Murphy, R.W."
911551632		1996	Reptiles and Amphibians	not-for-profit use only	PhysicalObject	PreservedSpecimen	30743	Asia	China	Hong Kong		22.25	114.16666	Asia; China; Hong Kong		Hong Kong					whole animal (ETOH)	Animalia; Chordata; Reptilia; Squamata; Gekkonidae; Gekko	Animalia	Chordata	Gekkonidae	Reptilia	Squamata	Gekko	sinensis	Gekko sinensis		"Murphy, R.W."
911551640		1996	Reptiles and Amphibians	not-for-profit use only	PhysicalObject	PreservedSpecimen	30994	Asia	China	Hong Kong		22.3333	114.25	Asia; China; Hong Kong		Hong Kong					Tissue only	Animalia; Chordata; Reptilia; Squamata; Viperidae; Trimeresurus	Animalia	Chordata	Viperidae	Reptilia	Squamata	Trimeresurus	albolabris	Trimeresurus albolabris		"Murphy, R.;Kong, K."
911551623		1996	Reptiles and Amphibians	not-for-profit use only	PhysicalObject	PreservedSpecimen	30740	Asia	China	Hong Kong		22.25	114.16666	Asia; China; Hong Kong		Hong Kong					whole animal (ETOH)	Animalia; Chordata; Reptilia; Squamata; Gekkonidae; Gekko	Animalia	Chordata	Gekkonidae	Reptilia	Squamata	Gekko	sinensis	Gekko sinensis		"Murphy, R.W."
